time,loc,latitude,longitude,depth,mag,id,place
2018-11-30T17:09:29.330Z,"61.3844,-149.4924",61.3844,-149.4924,0.1,0,chugiak,"0km N of Chugiak, Alaska"
2018-11-30T17:29:29.330Z,"61.3464,-149.9552",61.3464,-149.9552,46.7,7,ak20419010,"12km N of Anchorage, Alaska"
2018-11-30T17:32:27.605Z,"61.3978,-149.998",61.3978,-149.998,47,4.5,ak20463262,"13km S of Big Lake, Alaska"
2018-11-30T17:32:36.962Z,"61.4786,-149.9231",61.4786,-149.9231,37.2,4.6,ak20463263,"5km SSE of Big Lake, Alaska"
2018-11-30T17:33:52.950Z,"61.336,-149.9101",61.336,-149.9101,39.3,4.3,ak20463264,"16km N of Anchorage, Alaska"
2018-11-30T17:35:37.222Z,"61.2822,-149.9571",61.2822,-149.9571,40.8,5.7,ak20419042,"4km NNW of Anchorage, Alaska"
2018-11-30T17:36:37.807Z,"61.2833,-149.9082",61.2833,-149.9082,45.8,4.9,ak20463266,"7km N of Anchorage, Alaska"
2018-11-30T17:37:45.231Z,"61.4315,-150.0063",61.4315,-150.0063,41.1,4,ak20463267,"10km SSW of Big Lake, Alaska"
2018-11-30T17:39:37.593Z,"61.454,-150.0896",61.454,-150.0896,33.9,3.6,ak20463268,"13km SSW of Big Lake, Alaska"
2018-11-30T17:40:22.732Z,"61.5596,-149.5871",61.5596,-149.5871,28.7,3.1,ak20463269,"5km N of Knik-Fairview, Alaska"
2018-11-30T17:41:58.701Z,"61.4209,-149.9614",61.4209,-149.9614,43.4,4,ak20419080,"12km S of Big Lake, Alaska"
2018-11-30T17:42:20.609Z,"61.4283,-149.9418",61.4283,-149.9418,36.6,4,ak20419081,"8km SSW of Big Lake, Alaska"
2018-11-30T17:42:59.853Z,"61.5357,-149.9486",61.5357,-149.9486,43.3,4.5,ak20419094,"2km ESE of Big Lake, Alaska"
2018-11-30T17:44:08.304Z,"61.5117,-149.9159",61.5117,-149.9159,36.6,3.7,ak20463273,"2km ESE of Big Lake, Alaska"
2018-11-30T17:44:37.698Z,"61.4331,-149.9789",61.4331,-149.9789,32.4,3.3,ak20463274,"9km S of Big Lake, Alaska"
2018-11-30T17:45:13.202Z,"61.4543,-150.0465",61.4543,-150.0465,40.1,3.5,ak20463275,"8km SSW of Big Lake, Alaska"
2018-11-30T17:46:59.729Z,"61.4833,-149.9497",61.4833,-149.9497,45.9,3.1,ak20463276,"4km S of Big Lake, Alaska"
2018-11-30T17:47:35.827Z,"61.5064,-149.949",61.5064,-149.949,36,3,ak20463277,"1km S of Big Lake, Alaska"
2018-11-30T17:48:21.187Z,"61.3625,-150.0546",61.3625,-150.0546,31,3.5,ak20419371,"16km SSW of Big Lake, Alaska"
2018-11-30T17:49:43.058Z,"61.4289,-149.8952",61.4289,-149.8952,43.4,3.4,ak20420683,"9km SSE of Big Lake, Alaska"
2018-11-30T17:51:35.706Z,"61.5226,-149.92",61.5226,-149.92,37.4,3.2,ak20419433,"2km ENE of Big Lake, Alaska"
2018-11-30T17:52:19.760Z,"61.4973,-149.9654",61.4973,-149.9654,30,3.2,ak20463282,"2km SSW of Big Lake, Alaska"
2018-11-30T17:55:05.855Z,"61.4062,-149.9557",61.4062,-149.9557,35.3,3.6,ak20419455,"13km S of Big Lake, Alaska"
2018-11-30T17:55:48.471Z,"61.4993,-149.9658",61.4993,-149.9658,36.4,3.7,ak20419465,"3km SSW of Big Lake, Alaska"
2018-11-30T17:57:19.756Z,"61.408,-150.1311",61.408,-150.1311,40.1,3.2,ak20463286,"15km SW of Big Lake, Alaska"
